age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
32,4,82378,11,4,3,4,4,0,0,0,40,13,0
17,4,291253,9,4,12,3,4,0,0,0,11,39,0
44,4,215378,6,0,7,4,4,0,0,0,40,26,0
63,0,201825,9,2,0,0,4,1,0,0,40,39,1
30,4,250585,6,5,6,4,4,1,0,0,40,39,0
43,4,187450,15,4,12,1,4,1,0,0,50,39,0
47,6,125092,15,2,5,0,4,1,7757,0,40,39,1
33,4,219149,8,4,6,3,4,1,0,0,50,39,0
21,4,246747,5,4,8,1,4,1,0,0,50,39,1
36,4,155210,15,0,12,1,4,1,0,0,50,39,0
34,4,382324,8,5,1,5,2,0,0,0,40,23,0
22,4,114761,5,4,1,1,1,0,0,0,19,39,0
66,7,186838,11,2,4,0,4,1,0,0,40,39,1
30,2,216561,15,4,11,1,4,1,0,0,51,39,0
48,4,185961,11,2,11,0,4,1,0,1653,40,39,1
18,4,138681,15,4,8,3,4,0,0,0,27,39,0
37,4,32176,15,2,5,0,4,1,0,0,50,39,0
94,6,337683,10,4,10,1,4,1,0,0,44,39,1
30,4,225426,11,0,4,4,4,0,0,0,50,39,0
17,0,90914,11,2,0,5,4,1,0,0,41,39,0
44,5,35435,9,2,4,0,1,0,7414,0,50,7,1
30,6,121805,11,4,3,1,2,1,2668,0,50,39,0
22,4,348622,4,4,5,1,4,0,0,0,34,39,0
50,2,79926,9,2,10,0,4,1,0,860,40,39,1
48,4,122378,12,4,4,4,1,1,0,0,36,14,0
24,0,456602,11,4,0,1,2,1,0,0,40,39,0
19,4,200344,7,0,3,3,4,1,0,0,34,39,0
18,4,149717,15,4,8,3,2,0,0,0,18,39,0
43,4,156407,7,4,3,4,4,1,0,0,40,39,0
58,2,322359,12,2,10,0,4,1,0,0,40,39,1
34,4,244546,15,5,3,1,4,1,0,0,40,39,0
31,4,102358,11,2,6,0,4,1,0,0,40,39,0
67,6,103348,9,4,4,1,4,1,2573,0,49,19,1
21,4,223065,8,0,1,3,2,0,0,0,40,39,0
40,4,193334,11,2,12,0,4,1,0,0,86,39,0
37,5,148168,12,2,4,0,4,1,0,0,60,39,1
23,4,94529,11,4,3,1,2,1,0,0,50,39,0
63,4,140711,7,0,10,4,4,0,0,0,40,39,0
57,2,100660,15,2,4,0,4,1,0,0,50,39,1
39,4,226069,9,2,4,0,4,1,0,0,60,39,1
38,4,172140,7,2,4,0,4,1,0,1868,50,39,1
17,0,295909,15,4,6,3,4,1,0,0,40,39,0
16,0,147417,9,4,0,3,2,0,3258,0,20,14,0
34,4,161938,11,5,7,4,4,0,0,0,40,39,0
40,4,311816,11,0,12,4,0,1,0,0,40,39,0
55,2,210924,7,4,0,2,1,0,0,0,34,30,0
39,4,191009,9,2,10,0,4,1,0,1889,81,39,1
61,4,177220,5,0,1,1,4,0,0,0,11,39,0
31,4,36084,11,4,7,3,4,0,0,0,50,39,0
73,5,122700,11,2,4,0,4,1,0,0,49,39,1
44,5,102384,7,2,10,0,4,1,0,0,50,39,1
38,4,266564,14,2,3,0,4,1,7240,1409,40,8,1
17,4,102104,11,4,3,3,4,1,0,0,40,39,0
36,4,201860,5,0,3,1,4,1,0,0,51,39,0
67,4,401059,9,2,8,0,1,1,0,0,45,30,1
25,7,124799,15,0,1,1,4,0,0,0,40,39,0
44,4,113107,11,2,6,0,1,1,0,0,50,39,0
